mag,phi,sigmaphi,logphi,deltaup,deltado
-21.66,3.3e-05,9e-06,-4.481486060122112,0.10473535052001297,0.13830269816628143
-21.16,4.8e-05,1.4999999999999999e-05,-4.318758762624412,0.11809931207799448,0.16272729749769974
-20.66,0.000193,3.4e-05,-3.714442690992226,0.07046854818534894,0.08416018468732225
-20.16,0.000309,6.1e-05,-3.5100415205751654,0.07824324464216036,0.09550679859861837
-19.66,0.000654,0.0001,-3.184422251675733,0.06179359754550679,0.07206798359583755
-19.16,0.000907,0.000177,-3.042392712939905,0.07742199514227287,0.09428442693963934
-18.66,0.0017170000000000002,0.000478,-2.7652297048390833,0.10666422941722363,0.14169898878485304
-17.91,0.00584,0.00146,-2.2335871528876003,0.09691001300805642,0.12493873660829993
-16.91,0.0085,0.00294,-2.070581074285707,0.12900709874271263,0.18434413413223522
